Data,Open,High,Low,Close,Volume
1995-11-02,5.6795,5.6795,5.6795,5.6795,14271.0
1995-11-03,5.7972,5.7972,5.7972,5.7972,62177.0
1995-11-06,5.9247,5.9247,5.9247,5.9247,63756.0
1995-11-07,5.9051,5.9051,5.9051,5.9051,32370.0
1995-11-08,5.9639,5.9639,5.9639,5.9639,43863.0
1995-11-09,5.7776,5.7776,5.7776,5.7776,12981.0
1995-11-10,5.5128,5.5128,5.5128,5.5128,25764.0
1995-11-13,5.4932,5.4932,5.4932,5.4932,34603.0
1995-11-14,5.4932,5.4932,5.4932,5.4932,41066.0
1995-11-15,5.5324,5.5324,5.5324,5.5324,66074.0
1995-11-16,5.4539,5.4539,5.4539,5.4539,26150.0
1995-11-17,5.4735,5.4735,5.4735,5.4735,23767.0
1995-11-20,5.1596,5.1596,5.1596,5.1596,63626.0
1995-11-21,5.3264,5.3264,5.3264,5.3264,42050.0
1995-11-22,5.5324,5.5324,5.5324,5.5324,26938.0
1995-11-23,5.5324,5.5324,5.5324,5.5324,36878.0
1995-11-24,5.3852,5.3852,5.3852,5.3852,20510.0
1995-11-27,5.4735,5.4735,5.4735,5.4735,31077.0
1995-11-28,5.3852,5.3852,5.3852,5.3852,41479.0
1995-11-29,5.4539,5.4539,5.4539,5.4539,57342.0
1995-11-30,5.6501,5.6501,5.6501,5.6501,74542.0
1995-12-01,5.7972,5.7972,5.7972,5.7972,47689.0
1995-12-04,5.7972,5.7972,5.7972,5.7972,92620.0
1995-12-05,6.0032,6.0032,6.0032,6.0032,93708.0
1995-12-06,5.9051,5.9051,5.9051,5.9051,69826.0
1995-12-07,5.9051,5.9051,5.9051,5.9051,62879.0
1995-12-08,5.7776,5.7776,5.7776,5.7776,61794.0
1995-12-11,5.9639,5.9639,5.9639,5.9639,37824.0
1995-12-12,5.856,5.856,5.856,5.856,35069.0
1995-12-13,5.7972,5.7972,5.7972,5.7972,36909.0
1995-12-14,5.7972,5.7972,5.7972,5.7972,30358.0
1995-12-15,5.7384,5.7384,5.7384,5.7384,28939.0
1995-12-18,5.758,5.758,5.758,5.758,26142.0
1995-12-19,5.6991,5.6991,5.6991,5.6991,62154.0
1995-12-20,5.1204,5.1204,5.1204,5.1204,67355.0
1995-12-21,5.2086,5.2086,5.2086,5.2086,47177.0
1995-12-22,5.2676,5.2676,5.2676,5.2676,32951.0
1995-12-27,5.3656,5.3656,5.3656,5.3656,37074.0
1995-12-28,5.3656,5.3656,5.3656,5.3656,67721.0
1995-12-29,5.1204,5.1204,5.1204,5.1204,59353.0
1996-01-02,5.2479,5.2479,5.2479,5.2479,13249.0
